Player info,,,,,,Level 1 stats,,,,,,,,,Level 99 stats Note: Freedom is without Daisuke's notes,,,,,,,,,,,,,,,,,,,,,Moves,,,,,,,,
Full Name,Nickname,Position,Gender,Size,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,FP,Maxed out at,TP,Maxed out at,Kick,Maxed out at,Body,Maxed out at,Control,Maxed out at,Guard,Maxed out at,Speed,Maxed out at,Stamina,Maxed out at,Guts,Maxed out at,Freedom,Total,Max Totaal,Move 1,Learns at,Move  2,Learns at,Move 3,Learns at,Move 4,Learns at,Player HEX ID
Harry Boufante,Boufante,DF,Male,Medium,Air,82,85,16,18,17,21,18,17,16,99,Lv.59,125,Lv.59,54,Lv.99,57,Lv.69,61,Lv.69,59,Lv.89,62,Lv.59,58,Lv.59,55,Lv.59,20,406,426,No Element,Lv.1,Am-Bush,Lv.50,Fire Rooster,Lv.25,Three-Legged Rush,Lv.60,0x886
Todd Stuhl,Stuhl,DF,Male,Large,Air,66,89,20,18,17,20,20,18,19,108,Lv.69,121,Lv.89,57,Lv.69,60,Lv.59,52,Lv.99,57,Lv.69,58,Lv.59,62,Lv.69,54,Lv.59,19,400,419,No Element,Lv.1,Am-Bush,Lv.50,Utter Gutsiness Bat,Lv.25,Stone Wall,Lv.60,0x887
Aspen Blewit,Blewit,DF,Male,Medium,Wood,68,82,17,20,17,21,18,20,16,102,Lv.59,127,Lv.69,53,Lv.69,53,Lv.69,56,Lv.59,60,Lv.69,60,Lv.59,54,Lv.59,47,Lv.99,35,383,418,No Element,Lv.1,Am-Bush,Lv.50,Cyclone,Lv.25,Sub-Terfuge,Lv.60,0x888
Marismus Oregon,Oregon,DF,Male,Large,Fire,79,90,20,19,18,21,20,19,18,105,Lv.69,117,Lv.59,62,Lv.69,58,Lv.99,51,Lv.59,55,Lv.69,61,Lv.59,67,Lv.69,51,Lv.59,15,405,420,No Element,Lv.1,Am-Bush,Lv.50,Divine Stamp,Lv.25,Mirage Shot,Lv.60,0x889
Garjan Cypress,Cypress,MF,Male,Small,Fire,82,88,18,23,17,18,21,20,19,97,Lv.59,119,Lv.59,56,Lv.59,51,Lv.59,55,Lv.59,49,Lv.59,66,Lv.99,53,Lv.59,42,Lv.59,42,372,414,No Element,Lv.1,Slack Off,Lv.35,Snake Shot,Lv.25,Dual Pass,Lv.60,0x88A
Judas Deathcap,Deathcap,MF,Male,Small,Wood,72,80,17,21,19,18,23,18,16,98,Lv.69,124,Lv.59,46,Lv.69,57,Lv.59,49,Lv.59,48,Lv.69,68,Lv.99,60,Lv.69,53,Lv.59,34,381,415,No Element,Lv.1,Am-Bush,Lv.50,Dark Whirlwind,Lv.25,Circus Block,Lv.60,0x88B
Chase Faithfull,Faithf’l,MF,Male,Large,Earth,75,81,19,20,19,17,19,18,19,106,Lv.69,122,Lv.59,58,Lv.69,62,Lv.59,52,Lv.99,56,Lv.69,57,Lv.59,57,Lv.69,58,Lv.59,17,400,417,No Element,Lv.1,Am-Bush,Lv.50,Land Dragon,Lv.25,Invisible Fake,Lv.60,0x88C
Chris Ticker,Ticker,FW,Male,Small,Air,69,86,18,18,21,16,22,19,16,104,Lv.69,131,Lv.59,54,Lv.69,52,Lv.99,60,Lv.59,50,Lv.69,63,Lv.59,56,Lv.69,52,Lv.59,29,387,416,No Element,Lv.1,Am-Bush,Lv.50,Hawk Shot,Lv.25,Three-Legged Rush,Lv.60,0x88D
Roy Daring,Daring,FW,Male,Medium,Wood,74,107,21,18,18,17,20,16,20,100,Lv.69,128,Lv.59,59,Lv.69,55,Lv.59,57,Lv.59,46,Lv.69,64,Lv.99,58,Lv.69,51,Lv.59,36,390,426,No Element,Lv.1,Am-Bush,Lv.50,Clone Shot,Lv.25,Cool Up!,Lv.60,0x88E
Scaber Enoki,Enoki,FW,Male,Large,Fire,68,101,23,18,18,16,16,18,19,113,Lv.69,121,Lv.59,63,Lv.69,60,Lv.59,48,Lv.99,43,Lv.69,59,Lv.59,57,Lv.69,54,Lv.59,38,384,422,No Element,Lv.1,Am-Bush,Lv.50,Shine Drive,Lv.25,The Galaxy,Lv.60,0x88F
Robot S,Robot S,GK,Male,Medium,Earth,98,60,14,14,11,14,10,20,16,118,Lv.69,124,Lv.59,57,Lv.69,60,Lv.59,50,Lv.59,67,Lv.69,52,Lv.99,72,Lv.69,64,Lv.59,9,422,431,God Hand(E),Lv.1,Safety First,Lv.1,The Earth,Lv.1,Mugen The Hand,Lv.1,0x899
Robot P,Robot P,DF,Male,Medium,Fire,93,80,12,14,10,17,10,19,16,121,Lv.59,106,Lv.59,56,Lv.89,52,Lv.69,52,Lv.69,62,Lv.99,52,Lv.59,70,Lv.59,66,Lv.59,4,410,414,Assault Shot,Lv.1,Whirlwind Force,Lv.1,Gravitation,Lv.1,Wormhole,Lv.1,0x89A
Robot T,Robot T,DF,Male,Medium,Wood,95,68,12,12,11,16,12,17,15,124,Lv.69,107,Lv.89,60,Lv.69,50,Lv.59,57,Lv.99,64,Lv.69,54,Lv.59,66,Lv.69,64,Lv.59,14,415,429,Perimeter Zone,Lv.1,Land Of Ice,Lv.1,Gungnir,Lv.1,Space Penguin,Lv.1,0x89B
Robot V,Robot V,DF,Male,Medium,Air,95,80,14,14,13,15,12,18,16,119,Lv.59,109,Lv.69,54,Lv.69,53,Lv.69,55,Lv.59,67,Lv.69,57,Lv.59,74,Lv.59,57,Lv.99,11,417,428,Assault Shot,Lv.1,Attack Scan,Lv.1,Heavy Mettle,Lv.1,Fireball Storm,Lv.1,0x89C
Robot C,Robot C,DF,Female,Medium,Earth,99,72,13,13,12,16,12,19,15,122,Lv.69,104,Lv.59,55,Lv.69,59,Lv.59,59,Lv.59,60,Lv.69,54,Lv.99,75,Lv.69,58,Lv.59,14,420,434,Perimeter Zone,Lv.1,Lightning Sprint,Lv.1,Butterfly Trance,Lv.1,The Tower,Lv.1,0x89D
Robot O,Robot O,MF,Male,Medium,Fire,98,78,12,13,12,12,13,20,16,120,Lv.59,106,Lv.59,52,Lv.89,60,Lv.69,53,Lv.69,56,Lv.99,62,Lv.59,69,Lv.59,64,Lv.59,5,416,421,Defence Scan,Lv.1,Fist of Justice,Lv.1,Wyvern Crash,Lv.1,Emperor Penguin No. 1,Lv.1,0x89E
Robot B,Robot B,MF,Male,Medium,Wood,99,66,13,15,11,13,11,19,14,118,Lv.69,105,Lv.89,61,Lv.69,62,Lv.59,60,Lv.99,52,Lv.69,57,Lv.59,69,Lv.69,61,Lv.59,4,422,426,Defence Scan,Lv.1,Majin The Hand(E),Lv.1,Meteor Blade,Lv.1,Tsunami Boost,Lv.1,0x89F
Robot G,Robot G,MF,Male,Medium,Air,87,72,12,12,17,12,10,17,15,117,Lv.59,118,Lv.69,58,Lv.69,54,Lv.69,63,Lv.59,60,Lv.69,54,Lv.59,70,Lv.59,65,Lv.99,10,424,434,Attack Scan,Lv.1,Ganymede Ray,Lv.1,Meteor Shower,Lv.1,Drill Smasher,Lv.1,0x8A0
Robot K,Robot K,FW,Male,Medium,Earth,93,72,12,12,17,13,10,20,15,113,Lv.69,108,Lv.89,57,Lv.69,55,Lv.59,64,Lv.99,52,Lv.69,52,Lv.59,70,Lv.69,71,Lv.59,5,421,426,Invisible Fake,Lv.1,Planet Shield,Lv.1,Astro Break,Lv.1,Legendary Wolf,Lv.1,0x8A1
Robot F,Robot F,FW,Male,Medium,Fire,98,72,14,11,10,10,16,18,15,121,Lv.59,112,Lv.69,63,Lv.69,59,Lv.69,55,Lv.59,58,Lv.69,62,Lv.59,69,Lv.59,62,Lv.99,8,428,436,Double Wrath Shot,Lv.1,Warp Drive,Lv.1,Eternal Blizzard,Lv.1,Death Zone 2,Lv.1,0x8A2
Robot L,Robot L,FW,Male,Medium,Wood,88,72,15,10,13,11,10,16,16,120,Lv.59,109,Lv.69,68,Lv.69,53,Lv.69,58,Lv.59,55,Lv.69,52,Lv.59,70,Lv.59,68,Lv.99,5,424,429,Security Shot,Lv.1,Flame Dance,Lv.1,Southern Cross,Lv.1,Supernova,Lv.1,0x8A3
Seymour Hillman,Hillman,GK,Male,Large,Earth,69,93,12,12,11,10,12,13,15,130,Lv.69,140,Lv.59,53,Lv.69,70,Lv.59,65,Lv.59,77,Lv.69,50,Lv.99,57,Lv.69,73,Lv.59,3,445,448,Defence Force,Lv.1,God Hand(E),Lv.1,Triple God Hand,Lv.50,Million Hands,Lv.60,0x8AD
Charles Island,Island,DF,Male,Medium,Wood,68,78,13,14,16,11,11,12,11,126,Lv.59,126,Lv.69,69,Lv.69,64,Lv.69,63,Lv.59,70,Lv.69,62,Lv.59,54,Lv.59,56,Lv.99,3,438,441,Cool Up!,Lv.1,Ultra Moon,Lv.40,Double Cyclone,Lv.20,Dual Storm,Lv.78,0x8AE
Garret Hairtown,Hairtown,DF,Male,Small,Air,63,60,12,13,16,14,16,11,11,117,Lv.59,128,Lv.59,53,Lv.89,57,Lv.69,65,Lv.69,66,Lv.99,65,Lv.59,63,Lv.59,54,Lv.59,3,423,426,Spinning Cut,Lv.1,Fire Rooster,Lv.35,Whirlwind Cut,Lv.21,Circus Block,Lv.35,0x8AF
Arthur Sweet,Sweet,DF,Male,Large,Earth,68,70,15,16,11,14,13,15,11,132,Lv.69,129,Lv.89,52,Lv.69,67,Lv.59,65,Lv.99,66,Lv.69,67,Lv.59,60,Lv.69,63,Lv.59,3,440,443,Trickery!,Lv.1,Dragon Crash,Lv.1,Mega Wall,Lv.35,Wyvern Crash,Lv.58,0x8B0
Peter Mildred,Butler,MF,Male,Medium,Wood,55,64,14,13,10,13,11,11,11,118,Lv.59,128,Lv.59,59,Lv.59,59,Lv.59,68,Lv.59,68,Lv.59,60,Lv.59,68,Lv.59,64,Lv.99,3,446,449,Blade Attack,Lv.1,Aikido,Lv.1,Perimeter Zone,Lv.52,Dual Storm,Lv.58,0x8B1
Josh Nathaniel,N’haniel,MF,Male,Small,Wood,62,60,14,11,15,10,14,13,12,119,Lv.59,125,Lv.69,62,Lv.69,62,Lv.69,66,Lv.59,62,Lv.69,62,Lv.59,61,Lv.59,62,Lv.99,3,437,440,Zigzag Spark,Lv.1,Boost Glider,Lv.60,Spider Web,Lv.1,Big Fan,Lv.40,0x8B2
Edward Gladstone,Gladstn.,MF,Male,Medium,Fire,62,66,14,12,12,11,13,12,12,130,Lv.59,117,Lv.59,62,Lv.89,64,Lv.69,67,Lv.69,62,Lv.99,61,Lv.59,54,Lv.59,71,Lv.59,3,441,444,Dragon Cannon,Lv.1,Big Fan,Lv.1,Aikido,Lv.60,Divine Stamp,Lv.70,0x8B3
Tyler Thomas,Tailor,MF,Male,Medium,Earth,54,76,11,12,10,10,11,11,12,134,Lv.59,126,Lv.59,67,Lv.59,67,Lv.99,64,Lv.59,64,Lv.59,69,Lv.59,56,Lv.59,52,Lv.59,3,439,442,Magic,Lv.1,Invisible Fake,Lv.1,Fake Bomber,Lv.20,Acrobat Bomber,Lv.30,0x8B4
Joseph Yosemite,Barista,FW,Male,Medium,Air,64,68,18,11,15,14,14,12,13,135,Lv.59,134,Lv.69,55,Lv.69,54,Lv.69,70,Lv.59,67,Lv.69,65,Lv.59,61,Lv.59,68,Lv.99,3,440,443,Inazuma Drop,Lv.1,Inazuma Break,Lv.1,Whirlwind Drop,Lv.50,Revolution V,Lv.31,0x8B5
Ian Suffolk,Suffolk,MF,Male,Medium,Fire,62,63,14,13,12,11,13,13,14,127,Lv.59,128,Lv.59,66,Lv.59,70,Lv.59,55,Lv.99,63,Lv.59,59,Lv.59,62,Lv.59,64,Lv.59,3,439,442,Fire Rooster,Lv.1,Heat Tackle,Lv.1,The Phoenix,Lv.67,Zigzag Spark,Lv.35,0x8B6
Constant Builder,Builder,FW,Male,Large,Fire,66,64,16,20,14,14,13,15,14,129,Lv.69,128,Lv.89,73,Lv.69,63,Lv.59,68,Lv.99,43,Lv.69,61,Lv.59,70,Lv.69,73,Lv.59,3,451,454,Critical!,Lv.1,Inazuma-1,Lv.1,Gale Dash,Lv.1,Neo Galaxy,Lv.70,0x8B7
Grant Cook,Grent,GK,Male,Medium,Fire,50,88,11,19,19,22,21,16,15,108,Lv.59,121,Lv.99,68,Lv.89,60,Lv.69,52,Lv.69,68,Lv.99,52,Lv.59,56,Lv.59,48,Lv.59,37,404,441,Burnout,Lv.1,Lucky!,Lv.1,Blazing Knuckle,Lv.1,Ignite Steal,Lv.75,0x8C1
Bonnie Sparks,Baller,DF,Female,Small,Wood,50,74,13,14,15,16,23,17,20,115,Lv.59,132,Lv.99,62,Lv.99,64,Lv.69,62,Lv.69,59,Lv.89,61,Lv.59,58,Lv.59,51,Lv.59,15,417,432,Ignite Steal,Lv.1,Zigzag Flame,Lv.38,Meteor Shower,Lv.44,Burnout,Lv.69,0x8C2
Val Flamewood,Balcke,DF,Male,Medium,Fire,48,69,10,15,17,16,23,14,20,120,Lv.59,118,Lv.99,66,Lv.69,62,Lv.69,57,Lv.59,58,Lv.69,57,Lv.59,60,Lv.59,62,Lv.99,19,422,441,Gravitation,Lv.1,Southern Cross,Lv.1,Planet Shield,Lv.45,Emperor Penguin X,Lv.60,0x8C3
Sean Ashford,Seats,DF,Male,Medium,Wood,48,70,10,14,15,17,19,15,20,124,Lv.59,120,Lv.99,64,Lv.89,64,Lv.69,63,Lv.69,62,Lv.99,56,Lv.59,56,Lv.59,61,Lv.59,18,426,444,Abaddon Drop,Lv.1,Ignite Steal,Lv.1,Assault Shot,Lv.35,Supernova,Lv.65,0x8C4
Ben Blowton,Bomber,MF,Male,Large,Fire,46,88,17,16,18,15,21,17,17,135,Lv.69,115,Lv.99,55,Lv.69,63,Lv.59,52,Lv.99,62,Lv.69,58,Lv.59,70,Lv.69,65,Lv.59,21,425,446,Ignite Steal,Lv.1,Racing Flame,Lv.1,Super Armadillo,Lv.35,Beast Fang,Lv.65,0x8C5
Ethan Whitering,Heat,MF,Male,Medium,Wood,79,88,18,18,14,14,23,16,15,133,Lv.69,128,Lv.99,52,Lv.69,79,Lv.59,60,Lv.59,60,Lv.69,62,Lv.99,71,Lv.69,55,Lv.59,50,439,489,Cool Up!,Lv.1,Beast Fang,Lv.10,Meteor Shower,Lv.1,Twin Boost F,Lv.63,0x8C6
Brenda Firequest,Lean,MF,Female,Medium,Fire,63,89,16,16,17,15,23,16,15,117,Lv.69,133,Lv.99,65,Lv.69,59,Lv.59,58,Lv.99,56,Lv.69,61,Lv.59,61,Lv.69,52,Lv.59,17,412,429,Heat Tackle,Lv.1,Hellfire,Lv.25,Offence Plus,Lv.60,Grand Fire,Lv.75,0x8C7
Sam Bournes,Bountine,MF,Female,Medium,Wood,45,73,17,13,17,14,20,19,17,121,Lv.69,132,Lv.99,63,Lv.69,62,Lv.99,67,Lv.59,59,Lv.69,63,Lv.59,52,Lv.69,51,Lv.59,16,417,433,Prima Donna,Lv.1,Charm Up!,Lv.1,Gungnir,Lv.50,Ignite Steal,Lv.55,0x8C8
Jim Flareson,Sidern,FW,Male,Large,Fire,79,85,16,17,14,14,21,20,19,125,Lv.69,110,Lv.99,52,Lv.69,77,Lv.99,59,Lv.59,52,Lv.69,62,Lv.59,54,Lv.69,69,Lv.59,22,425,447,Big Moves!,Lv.1,Power Charge,Lv.22,Fire Rooster,Lv.40,Atomic Flare,Lv.60,0x8C9
Claude Beacons,Torch,FW,Male,Medium,Fire,67,87,21,20,17,15,23,17,18,120,Lv.69,128,Lv.99,74,Lv.69,71,Lv.59,64,Lv.99,58,Lv.69,66,Lv.59,52,Lv.69,60,Lv.59,8,445,453,Power Element,Lv.1,Atomic Flare,Lv.1,Dog Run,Lv.35,Fire Blizzard(F),Lv.60,0x8CA
Nigel August,Neppten,FW,Male,Medium,Wood,79,88,18,13,15,17,19,19,18,123,Lv.69,118,Lv.99,63,Lv.69,60,Lv.59,61,Lv.59,59,Lv.69,61,Lv.99,67,Lv.69,60,Lv.59,11,431,442,Twin Boost F,Lv.1,Flame Veil,Lv.1,Atomic Flare,Lv.50,Speed Plus,Lv.60,0x8CB
Ben North,Beluga,GK,Male,Medium,Earth,50,87,11,17,20,19,23,16,15,105,Lv.59,124,Lv.99,61,Lv.69,60,Lv.69,53,Lv.59,71,Lv.69,60,Lv.59,52,Lv.59,52,Lv.99,32,409,441,Ice Block,Lv.1,Lucky!,Lv.1,Wormhole,Lv.32,Frozen Steal,Lv.60,0x8D5
Alan Downhill,Arkew,DF,Male,Medium,Air,43,93,13,19,20,19,21,14,13,108,Lv.59,112,Lv.99,64,Lv.89,67,Lv.69,56,Lv.69,64,Lv.99,62,Lv.59,52,Lv.59,60,Lv.59,19,425,444,Cool Up!,Lv.1,Frozen Steal,Lv.1,Northern Impact,Lv.62,Study,Lv.1,0x8D6
Claire Lesnow,Clear,DF,Female,Medium,Air,58,80,12,14,16,18,21,17,17,115,Lv.59,138,Lv.99,52,Lv.69,58,Lv.69,60,Lv.59,73,Lv.69,50,Lv.59,60,Lv.59,56,Lv.99,24,409,433,Frozen Steal,Lv.1,Ice Block,Lv.30,God Hand X,Lv.65,Economy!,Lv.40,0x8D7
Albert Denver,Gocker,DF,Male,Large,Earth,49,90,12,19,20,18,23,14,17,125,Lv.59,110,Lv.99,57,Lv.69,70,Lv.69,52,Lv.59,70,Lv.69,53,Lv.59,66,Lv.59,63,Lv.99,17,431,448,Sumo Stomp,Lv.1,Defence Plus,Lv.1,Big Fan,Lv.22,Ground Quake,Lv.55,0x8D8
Lucy Hailstone,Icer,MF,Female,Medium,Air,61,82,17,16,16,16,22,18,15,116,Lv.69,132,Lv.99,53,Lv.69,55,Lv.99,63,Lv.59,68,Lv.69,65,Lv.59,52,Lv.69,54,Lv.59,22,410,432,Asteroid Belt,Lv.1,Freeze Shot,Lv.15,Charm Up!,Lv.60,Grand Fenrir,Lv.75,0x8D9
Brad Coldwater,Balen,MF,Male,Medium,Earth,57,85,18,18,16,17,19,20,14,110,Lv.69,115,Lv.99,58,Lv.69,62,Lv.59,62,Lv.99,61,Lv.69,64,Lv.59,60,Lv.69,61,Lv.59,10,428,438,Water Veil,Lv.1,Spinning Cut,Lv.29,Rolling Slide,Lv.45,Emperor Penguin No. 2,Lv.68,0x8DA
Dawson Foxx,Droll,MF,Male,Medium,Air,52,88,18,14,20,16,22,20,17,120,Lv.69,115,Lv.99,62,Lv.69,59,Lv.59,62,Lv.59,64,Lv.69,59,Lv.99,62,Lv.69,61,Lv.59,12,429,441,Water Veil,Lv.1,Land Of Ice,Lv.25,Heaven’s Time,Lv.65,Cosmic Blast,Lv.70,0x8DB
Ving Rice,Rhine,MF,Female,Medium,Air,46,82,16,16,17,14,20,19,16,112,Lv.69,135,Lv.99,63,Lv.69,61,Lv.59,54,Lv.59,58,Lv.69,60,Lv.99,60,Lv.69,60,Lv.59,17,416,433,Lightning Sprint,Lv.1,Spiral Shot,Lv.1,Water Veil,Lv.42,Space Penguin,Lv.75,0x8DC
Bernie White,Blown,FW,Male,Medium,Air,54,91,13,16,15,13,20,16,17,106,Lv.69,120,Lv.99,66,Lv.69,60,Lv.59,56,Lv.59,55,Lv.69,68,Lv.99,57,Lv.69,52,Lv.59,31,414,445,Astro Break,Lv.1,Water Veil,Lv.1,Aurora Dribble,Lv.32,Northern Impact,Lv.70,0x8DD
Bryce Whitingale,Gazelle,FW,Male,Medium,Air,81,79,22,14,22,21,21,17,20,110,Lv.69,125,Lv.99,62,Lv.69,65,Lv.59,65,Lv.99,68,Lv.69,66,Lv.59,56,Lv.69,60,Lv.59,11,442,453,Power Element,Lv.1,Northern Impact,Lv.1,Heaven’s Time,Lv.1,Fire Blizzard(F),Lv.60,0x8DE
Denzel Freezer,Frost,FW,Male,Medium,Earth,62,89,13,15,14,14,20,17,18,108,Lv.69,122,Lv.99,52,Lv.69,68,Lv.99,62,Lv.59,56,Lv.69,60,Lv.59,68,Lv.69,63,Lv.59,15,429,444,Astro Break,Lv.1,Wyvern Crash,Lv.33,Water Veil,Lv.68,Astro Gate,Lv.59,0x8DF
Mysterious guy,???,GK,Male,Medium,Air,43,56,14,12,12,14,12,11,11,107,Lv.69,120,Lv.59,56,Lv.69,60,Lv.99,60,Lv.59,56,Lv.69,57,Lv.59,60,Lv.69,60,Lv.59,5,409,414,Killer Slide,Lv.1,Warp Space,Lv.1,Gravitation,Lv.1,Black Hole,Lv.1,0x8E9
Mysterious guy,???,DF,Male,Large,Wood,56,62,14,11,13,14,11,14,14,103,Lv.59,112,Lv.59,53,Lv.89,63,Lv.69,52,Lv.69,59,Lv.99,56,Lv.59,55,Lv.59,55,Lv.59,4,393,397,Killer Slide,Lv.1,Breakthrough,Lv.1,Abaddon Drop,Lv.1,Back Tornado,Lv.1,0x8EA
Mysterious guy,???,DF,Male,Medium,Fire,48,48,12,14,13,13,10,13,12,106,Lv.69,115,Lv.89,56,Lv.69,57,Lv.59,61,Lv.99,60,Lv.69,53,Lv.59,52,Lv.69,56,Lv.59,5,395,400,Killer Slide,Lv.1,Breakthrough,Lv.1,Racing Flame,Lv.1,Astro Break,Lv.1,0x8EB
Mysterious guy,???,DF,Male,Medium,Earth,48,47,12,11,13,13,12,11,12,108,Lv.59,110,Lv.69,58,Lv.69,62,Lv.69,60,Lv.59,60,Lv.69,54,Lv.59,52,Lv.59,61,Lv.99,11,407,418,Killer Slide,Lv.1,Breakthrough,Lv.1,Mole Fake,Lv.1,Astro Break,Lv.1,0x8EC
Mysterious guy,???,DF,Male,Medium,Air,58,49,10,12,10,14,10,12,14,109,Lv.69,113,Lv.59,59,Lv.69,53,Lv.59,62,Lv.59,55,Lv.69,54,Lv.99,54,Lv.69,61,Lv.59,9,398,407,Killer Slide,Lv.1,Breakthrough 2,Lv.1,Abaddon Drop,Lv.1,Cosmic Blast,Lv.1,0x8ED
Mysterious guy,???,MF,Male,Medium,Wood,50,48,12,11,11,12,12,13,11,102,Lv.59,107,Lv.59,53,Lv.59,60,Lv.59,56,Lv.99,55,Lv.59,60,Lv.59,58,Lv.59,59,Lv.59,10,401,411,Killer Slide,Lv.1,Breakthrough,Lv.1,Racing Flame,Lv.1,Mole Fake,Lv.1,0x8EE
Mysterious guy,???,GK,Male,Medium,Fire,48,56,12,12,14,11,11,13,12,101,Lv.69,124,Lv.59,59,Lv.69,52,Lv.99,56,Lv.59,59,Lv.69,62,Lv.59,58,Lv.69,59,Lv.59,12,405,417,Killer Slide,Lv.1,Breakthrough 2,Lv.1,Wormhole,Lv.1,Asteroid Belt,Lv.1,0x8EF
Mysterious guy,???,GK,Male,Large,Earth,54,48,14,11,12,11,12,11,14,103,Lv.69,123,Lv.59,62,Lv.69,53,Lv.99,60,Lv.59,52,Lv.69,54,Lv.59,60,Lv.69,61,Lv.59,6,402,408,Killer Slide,Lv.1,Breakthrough,Lv.1,Black Hole,Lv.1,Back Tornado,Lv.1,0x8F0
Ken Ironwall,Ironwall,GK,Male,Large,Earth,44,62,18,16,14,14,14,16,13,118,Lv.59,130,Lv.59,59,Lv.59,69,Lv.59,51,Lv.99,72,Lv.59,52,Lv.59,68,Lv.59,56,Lv.59,3,427,430,Safety First,Lv.1,Rocket Kobushi,Lv.19,The Wall,Lv.29,Iron Wall,Lv.58,0x8FD
Timothy Western,Western,DF,Male,Small,Air,37,48,10,14,12,13,17,13,11,115,Lv.69,119,Lv.69,52,Lv.69,60,Lv.69,70,Lv.69,61,Lv.69,58,Lv.99,53,Lv.69,63,Lv.69,18,417,435,Attack Scan,Lv.8,Defence Scan,Lv.17,Perimeter Zone,Lv.29,Sigma Zone,Lv.43,0x8FE
Wallace Hammond,Hammond,DF,Male,Medium,Air,48,55,14,11,18,11,21,12,13,108,Lv.69,107,Lv.69,59,Lv.69,57,Lv.69,64,Lv.69,56,Lv.69,73,Lv.69,49,Lv.69,53,Lv.99,31,411,442,Flurry Dash,Lv.1,Invisible Fake,Lv.1,Perimeter Zone,Lv.26,Lightning Sprint,Lv.45,0x8FF
Shirley Stevens,Stevens,DF,Male,Large,Wood,54,76,17,15,12,16,12,14,12,124,Lv.69,113,Lv.69,64,Lv.69,60,Lv.69,56,Lv.69,60,Lv.69,54,Lv.69,60,Lv.99,54,Lv.69,12,408,420,Perimeter Zone,Lv.1,Circus Block,Lv.24,Security Shot,Lv.30,Body Shield,Lv.60,0x900
Ian Smith,Smith,DF,Male,Medium,Wood,54,62,13,17,11,11,14,20,14,120,Lv.69,118,Lv.69,71,Lv.69,63,Lv.69,54,Lv.69,58,Lv.69,52,Lv.69,60,Lv.69,61,Lv.99,15,419,434,Body Shield,Lv.1,Toughness Block,Lv.25,Safety First,Lv.33,Divine Stamp,Lv.39,0x901
Taylor Firepool,Firepool,MF,Male,Medium,Air,40,47,10,11,13,11,13,13,13,103,Lv.59,109,Lv.59,57,Lv.59,52,Lv.59,62,Lv.59,66,Lv.59,57,Lv.99,56,Lv.59,57,Lv.59,15,407,422,Aikido,Lv.9,Patriot Shot,Lv.19,Acrobat Bomber,Lv.32,Assault Shot,Lv.55,0x902
Marge Fielding,Agent M,MF,Female,Medium,Air,33,66,14,12,13,14,17,10,14,129,Lv.59,129,Lv.59,60,Lv.59,58,Lv.59,64,Lv.99,53,Lv.59,69,Lv.59,58,Lv.59,60,Lv.59,26,422,448,Charm Up!,Lv.1,Aikido,Lv.1,The Tower,Lv.25,Revolution V,Lv.61,0x903
Marshall Firsthand,F’sthand,MF,Male,Medium,Wood,33,54,12,16,11,14,12,12,11,101,Lv.69,115,Lv.69,51,Lv.69,58,Lv.69,55,Lv.69,60,Lv.69,68,Lv.69,57,Lv.69,62,Lv.99,19,411,430,Defence Scan,Lv.10,Fake Bomber,Lv.21,Perimeter Zone,Lv.30,Security Shot,Lv.41,0x904
Holly Mirror,Mirror,FW,Female,Medium,Fire,50,55,19,13,15,13,14,20,19,97,Lv.69,128,Lv.69,57,Lv.69,59,Lv.69,66,Lv.69,63,Lv.69,60,Lv.99,59,Lv.69,57,Lv.69,17,421,438,Security Shot,Lv.1,Spiral Shot,Lv.13,Perimeter Zone,Lv.24,The Tower,Lv.52,0x905
Victoria Vanguard,Tori,MF,Female,Medium,Air,68,48,15,11,16,10,19,20,18,108,Lv.59,130,Lv.59,61,Lv.59,51,Lv.59,62,Lv.59,61,Lv.59,52,Lv.59,61,Lv.99,52,Lv.59,38,400,438,The Tower,Lv.1,Butterfly Trance,Lv.21,Aikido,Lv.34,Perfect Tower,Lv.69,0x906
Joe Kenneddy,Kenneddy,FW,Male,Medium,Wood,49,66,18,12,18,13,17,18,20,115,Lv.59,104,Lv.59,56,Lv.59,68,Lv.59,65,Lv.59,64,Lv.59,53,Lv.59,57,Lv.59,56,Lv.99,10,419,429,Security Shot,Lv.1,Dynamite Shot,Lv.16,Fake Bomber,Lv.27,Gunshot,Lv.44,0x907
Ian Sights,Sights,GK,Male,Medium,Earth,36,78,17,18,17,17,11,12,11,104,Lv.69,132,Lv.69,52,Lv.69,51,Lv.69,69,Lv.69,63,Lv.69,60,Lv.99,48,Lv.69,57,Lv.69,21,400,421,Killer Blade,Lv.1,Double Rocket,Lv.19,Bewildered,Lv.36,Gunshot,Lv.40,0x908
Greene Beray,Beray,DF,Male,Small,Air,40,85,14,13,7,10,11,8,12,123,Lv.69,104,Lv.69,63,Lv.69,67,Lv.69,54,Lv.99,51,Lv.69,52,Lv.69,68,Lv.69,62,Lv.69,14,417,431,Volcano Cut,Lv.8,Fake Ball,Lv.16,Bewildered,Lv.30,Perimeter Zone,Lv.45,0x909
